  0.1107E-04   0.2447E+01   0.5413E-02   5.568   0.1215E+01   0.5591E+00 *******
  0.1153E-04   0.2447E+01   0.6518E-02   5.568   0.1215E+01   0.5591E+00 *******
  0.1202E-04   0.2447E+01   0.7712E-02   5.568   0.1215E+01   0.5591E+00 *******
  0.1253E-04   0.2447E+01   0.8726E-02   5.553   0.1206E+01   0.5613E+00 *******
  0.1306E-04   0.2447E+01   0.1058E-01   5.539   0.1197E+01   0.5633E+00 *******
  0.1361E-04   0.2447E+01   0.1230E-01   5.539   0.1197E+01   0.5633E+00 *******
  0.1419E-04   0.2446E+01   0.1393E-01   5.524   0.1188E+01   0.5654E+00 *******
  0.1479E-04   0.2446E+01   0.1674E-01   5.524   0.1188E+01   0.5654E+00 *******
  0.1542E-04   0.2446E+01   0.1914E-01   5.524   0.1188E+01   0.5654E+00 *******
  0.1607E-04   0.2445E+01   0.2194E-01   5.539   0.1197E+01   0.5633E+00 *******
  0.1675E-04   0.2445E+01   0.2579E-01   5.581   0.1224E+01   0.5572E+00 *******
  0.1746E-04   0.2445E+01   0.2906E-01   5.609   0.1242E+01   0.5532E+00 *******
  0.1820E-04   0.2444E+01   0.3357E-01   5.624   0.1251E+01   0.5511E+00 *******
  0.1897E-04   0.2443E+01   0.3874E-01   5.624   0.1251E+01   0.5511E+00 *******
  0.1977E-04   0.2443E+01   0.4311E-01   5.624   0.1251E+01   0.5511E+00 *******
  0.2061E-04   0.2442E+01   0.5001E-01   5.624   0.1251E+01   0.5511E+00 *******
  0.2148E-04   0.2441E+01   0.5676E-01   5.638   0.1260E+01   0.5491E+00 *******
  0.2239E-04   0.2440E+01   0.6243E-01   5.651   0.1269E+01   0.5472E+00 *******
  0.2333E-04   0.2439E+01   0.7253E-01   5.679   0.1287E+01   0.5432E+00 *******
  0.2432E-04   0.2438E+01   0.8113E-01   5.706   0.1305E+01   0.5394E+00 *******
  0.2535E-04   0.2436E+01   0.8989E-01   5.734   0.1323E+01   0.5355E+00 *******
  0.2642E-04   0.2435E+01   0.1025E+00   5.746   0.1332E+01   0.5338E+00 *******
  0.2754E-04   0.2433E+01   0.1132E+00   5.773   0.1350E+01   0.5300E+00 *******
  0.2871E-04   0.2431E+01   0.1260E+00   5.786   0.1359E+01   0.5282E+00 *******
  0.2992E-04   0.2428E+01   0.1413E+00   5.801   0.1368E+01   0.5262E+00 *******
  0.3119E-04   0.2426E+01   0.1542E+00   5.814   0.1377E+01   0.5243E+00 *******
  0.3251E-04   0.2423E+01   0.1720E+00   5.826   0.1386E+01   0.5228E+00 *******
  0.3388E-04   0.2420E+01   0.1902E+00   5.839   0.1395E+01   0.5209E+00 *******
  0.3532E-04   0.2417E+01   0.2054E+00   5.853   0.1404E+01   0.5190E+00 *******
  0.3681E-04   0.2413E+01   0.2289E+00   5.865   0.1413E+01   0.5174E+00 *******
  0.3837E-04   0.2409E+01   0.2500E+00   5.879   0.1422E+01   0.5154E+00 *******
  0.3999E-04   0.2404E+01   0.2690E+00   5.904   0.1440E+01   0.5121E+00 *******
  0.4169E-04   0.2399E+01   0.2975E+00   5.930   0.1458E+01   0.5086E+00 *******
  0.4345E-04   0.2394E+01   0.3212E+00   5.956   0.1476E+01   0.5051E+00 *******
  0.4529E-04   0.2388E+01   0.3462E+00   5.981   0.1494E+01   0.5017E+00 *******
  0.4721E-04   0.2382E+01   0.3777E+00   5.992   0.1503E+01   0.5002E+00 *******
  0.4920E-04   0.2375E+01   0.4037E+00   6.018   0.1521E+01   0.4967E+00 *******
  0.5129E-04   0.2368E+01   0.4352E+00   6.030   0.1530E+01   0.4951E+00 *******
  0.5346E-04   0.2360E+01   0.4691E+00   6.042   0.1539E+01   0.4935E+00 *******
  0.5572E-04   0.2352E+01   0.4968E+00   6.055   0.1548E+01   0.4918E+00 *******
  0.5808E-04   0.2343E+01   0.5348E+00   6.078   0.1566E+01   0.4888E+00 *******
  0.6053E-04   0.2333E+01   0.5704E+00   6.104   0.1584E+01   0.4854E+00 *******
  0.6310E-04   0.2323E+01   0.5989E+00   6.126   0.1602E+01   0.4824E+00 *******
  0.6577E-04   0.2312E+01   0.6432E+00   6.163   0.1629E+01   0.4777E+00 *******
  0.6855E-04   0.2301E+01   0.6795E+00   6.196   0.1656E+01   0.4733E+00 *******
