  0.1107E-04   0.2966E+01   0.3695E+00   5.706   0.1305E+01   0.5394E+00 *******
  0.1153E-04   0.2959E+01   0.3854E+00   5.706   0.1305E+01   0.5394E+00 *******
  0.1202E-04   0.2952E+01   0.4011E+00   5.706   0.1305E+01   0.5394E+00 *******
  0.1253E-04   0.2945E+01   0.4129E+00   5.720   0.1314E+01   0.5375E+00 *******
  0.1306E-04   0.2937E+01   0.4333E+00   5.666   0.1278E+01   0.5451E+00 *******
  0.1361E-04   0.2929E+01   0.4506E+00   5.595   0.1233E+01   0.5552E+00 *******
  0.1419E-04   0.2921E+01   0.4651E+00   5.539   0.1197E+01   0.5633E+00 *******
  0.1479E-04   0.2913E+01   0.4878E+00   5.568   0.1215E+01   0.5591E+00 *******
  0.1542E-04   0.2904E+01   0.5054E+00   5.581   0.1224E+01   0.5572E+00 *******
  0.1607E-04   0.2895E+01   0.5232E+00   5.609   0.1242E+01   0.5532E+00 *******
  0.1675E-04   0.2886E+01   0.5457E+00   5.651   0.1269E+01   0.5472E+00 *******
  0.1746E-04   0.2876E+01   0.5627E+00   5.679   0.1287E+01   0.5432E+00 *******
  0.1820E-04   0.2866E+01   0.5848E+00   5.693   0.1296E+01   0.5414E+00 *******
  0.1897E-04   0.2855E+01   0.6090E+00   5.679   0.1287E+01   0.5432E+00 *******
  0.1977E-04   0.2844E+01   0.6272E+00   5.666   0.1278E+01   0.5451E+00 *******
  0.2061E-04   0.2833E+01   0.6538E+00   5.666   0.1278E+01   0.5451E+00 *******
  0.2148E-04   0.2821E+01   0.6778E+00   5.651   0.1269E+01   0.5472E+00 *******
  0.2239E-04   0.2809E+01   0.6954E+00   5.651   0.1269E+01   0.5472E+00 *******
  0.2333E-04   0.2796E+01   0.7250E+00   5.666   0.1278E+01   0.5451E+00 *******
  0.2432E-04   0.2783E+01   0.7477E+00   5.693   0.1296E+01   0.5414E+00 *******
  0.2535E-04   0.2770E+01   0.7686E+00   5.706   0.1305E+01   0.5394E+00 *******
  0.2642E-04   0.2756E+01   0.7996E+00   5.693   0.1296E+01   0.5414E+00 *******
  0.2754E-04   0.2742E+01   0.8230E+00   5.679   0.1287E+01   0.5432E+00 *******
  0.2871E-04   0.2727E+01   0.8487E+00   5.679   0.1287E+01   0.5432E+00 *******
  0.2992E-04   0.2712E+01   0.8786E+00   5.693   0.1296E+01   0.5414E+00 *******
  0.3119E-04   0.2696E+01   0.9004E+00   5.693   0.1296E+01   0.5414E+00 *******
  0.3251E-04   0.2680E+01   0.9288E+00   5.706   0.1305E+01   0.5394E+00 *******
  0.3388E-04   0.2663E+01   0.9561E+00   5.720   0.1314E+01   0.5375E+00 *******
  0.3532E-04   0.2646E+01   0.9753E+00   5.720   0.1314E+01   0.5375E+00 *******
  0.3681E-04   0.2628E+01   0.1008E+01   5.746   0.1332E+01   0.5338E+00 *******
  0.3837E-04   0.2610E+01   0.1035E+01   5.773   0.1350E+01   0.5300E+00 *******
  0.3999E-04   0.2591E+01   0.1057E+01   5.801   0.1368E+01   0.5262E+00 *******
  0.4169E-04   0.2572E+01   0.1090E+01   5.814   0.1377E+01   0.5243E+00 *******
  0.4345E-04   0.2553E+01   0.1114E+01   5.826   0.1386E+01   0.5228E+00 *******
  0.4529E-04   0.2533E+01   0.1138E+01   5.839   0.1395E+01   0.5209E+00 *******
  0.4721E-04   0.2512E+01   0.1167E+01   5.853   0.1404E+01   0.5190E+00 *******
  0.4920E-04   0.2491E+01   0.1187E+01   5.879   0.1422E+01   0.5154E+00 *******
  0.5129E-04   0.2470E+01   0.1213E+01   5.892   0.1431E+01   0.5138E+00 *******
  0.5346E-04   0.2448E+01   0.1241E+01   5.904   0.1440E+01   0.5121E+00 *******
  0.5572E-04   0.2426E+01   0.1260E+01   5.930   0.1458E+01   0.5086E+00 *******
  0.5808E-04   0.2403E+01   0.1288E+01   5.943   0.1467E+01   0.5068E+00 *******
  0.6053E-04   0.2380E+01   0.1312E+01   5.967   0.1485E+01   0.5035E+00 *******
  0.6310E-04   0.2356E+01   0.1327E+01   5.992   0.1503E+01   0.5002E+00 *******
  0.6577E-04   0.2332E+01   0.1355E+01   6.006   0.1512E+01   0.4983E+00 *******
  0.6855E-04   0.2308E+01   0.1374E+01   6.018   0.1521E+01   0.4967E+00 *******
  0.7145E-04   0.2283E+01   0.1389E+01   6.042   0.1539E+01   0.4935E+00 *******
  0.7447E-04   0.2258E+01   0.1415E+01   6.055   0.1548E+01   0.4918E+00 *******
  0.7762E-04   0.2233E+01   0.1431E+01   6.067   0.1557E+01   0.4902E+00 *******
  0.8091E-04   0.2207E+01   0.1448E+01   6.078   0.1566E+01   0.4888E+00 *******
  0.8433E-04   0.2181E+01   0.1469E+01   6.104   0.1584E+01   0.4854E+00 *******
  0.8790E-04   0.2154E+01   0.1480E+01   6.126   0.1602E+01   0.4824E+00 *******
  0.9162E-04   0.2128E+01   0.1497E+01   6.139   0.1611E+01   0.4807E+00 *******
  0.9550E-04   0.2101E+01   0.1512E+01   6.163   0.1629E+01   0.4777E+00 *******
  0.9954E-04   0.2074E+01   0.1517E+01   6.186   0.1647E+01   0.4746E+00 *******
  0.1038E-03   0.2046E+01   0.1535E+01   6.208   0.1665E+01   0.4717E+00 *******
  0.1081E-03   0.2019E+01   0.1547E+01   6.221   0.1674E+01   0.4701E+00 982.627
  0.1127E-03   0.1991E+01   0.1551E+01   6.251   0.1692E+01   0.4672E+00 928.194
  0.1175E-03   0.1963E+01   0.1567E+01   6.289   0.1710E+01   0.4644E+00 863.921
  0.1225E-03   0.1935E+01   0.1573E+01   6.330   0.1728E+01   0.4614E+00 801.006
  0.1276E-03   0.1906E+01   0.1577E+01   6.369   0.1746E+01   0.4585E+00 745.122
  0.1330E-03   0.1878E+01   0.1586E+01   6.389   0.1755E+01   0.4571E+00 717.437
  0.1387E-03   0.1849E+01   0.1586E+01   6.409   0.1764E+01   0.4556E+00 692.167
  0.1445E-03   0.1821E+01   0.1590E+01   6.450   0.1782E+01   0.4530E+00 641.958
  0.1507E-03   0.1792E+01   0.1595E+01   6.470   0.1791E+01   0.4515E+00 618.578
  0.1570E-03   0.1764E+01   0.1592E+01   6.510   0.1809E+01   0.4487E+00 575.430
  0.1637E-03   0.1735E+01   0.1597E+01   6.551   0.1827E+01   0.4462E+00 534.423
  0.1706E-03   0.1706E+01   0.1597E+01   6.592   0.1845E+01   0.4433E+00 496.952
  0.1778E-03   0.1677E+01   0.1589E+01   6.613   0.1854E+01   0.4420E+00 478.985
  0.1854E-03   0.1649E+01   0.1592E+01   6.655   0.1872E+01   0.4394E+00 444.496
  0.1932E-03   0.1620E+01   0.1587E+01   6.676   0.1890E+01   0.4370E+00 428.315
  0.2014E-03   0.1592E+01   0.1578E+01   6.696   0.1899E+01   0.4356E+00 413.196
  0.2099E-03   0.1563E+01   0.1578E+01   6.738   0.1917E+01   0.4331E+00 383.944
  0.2188E-03   0.1535E+01   0.1570E+01   6.780   0.1935E+01   0.4306E+00 356.744
  0.2280E-03   0.1507E+01   0.1562E+01   6.824   0.1953E+01   0.4281E+00 330.599
  0.2377E-03   0.1478E+01   0.1557E+01   6.866   0.1971E+01   0.4254E+00 307.853
  0.2477E-03   0.1450E+01   0.1545E+01   6.889   0.1980E+01   0.4243E+00 296.092
  0.2582E-03   0.1423E+01   0.1537E+01   6.932   0.1998E+01   0.4219E+00 275.101
  0.2692E-03   0.1395E+01   0.1527E+01   6.974   0.2016E+01   0.4194E+00 256.114
  0.2805E-03   0.1367E+01   0.1511E+01   7.019   0.2034E+01   0.4170E+00 237.268
  0.2924E-03   0.1340E+01   0.1503E+01   7.062   0.2052E+01   0.4147E+00 220.956
  0.3048E-03   0.1313E+01   0.1491E+01   7.094   0.2070E+01   0.4125E+00 209.466
  0.3177E-03   0.1286E+01   0.1474E+01   7.128   0.2088E+01   0.4101E+00 198.018
  0.3311E-03   0.1260E+01   0.1465E+01   7.174   0.2106E+01   0.4078E+00 183.686
  0.3451E-03   0.1233E+01   0.1449E+01   7.219   0.2124E+01   0.4057E+00 170.632
  0.3597E-03   0.1207E+01   0.1433E+01   7.265   0.2142E+01   0.4033E+00 158.371
  0.3750E-03   0.1182E+01   0.1420E+01   7.310   0.2160E+01   0.4011E+00 147.223
  0.3908E-03   0.1156E+01   0.1401E+01   7.333   0.2169E+01   0.4000E+00 141.924
  0.4074E-03   0.1131E+01   0.1385E+01   7.380   0.2187E+01   0.3978E+00 131.709
  0.4246E-03   0.1106E+01   0.1370E+01   7.412   0.2205E+01   0.3958E+00 125.171
  0.4426E-03   0.1081E+01   0.1350E+01   7.449   0.2223E+01   0.3935E+00 118.036
  0.4613E-03   0.1057E+01   0.1335E+01   7.496   0.2241E+01   0.3915E+00 109.506
  0.4808E-03   0.1033E+01   0.1318E+01   7.542   0.2259E+01   0.3894E+00 101.894
  0.5012E-03   0.1009E+01   0.1296E+01   7.590   0.2277E+01   0.3873E+00  94.603
