  0.1062E-04   0.6346E+01   0.2541E+01   7.496   0.2241E+01   0.3915E+00 109.506
  0.1107E-04   0.6300E+01   0.2592E+01   7.519   0.2250E+01   0.3903E+00 105.652
  0.1153E-04   0.6253E+01   0.2662E+01   7.471   0.2232E+01   0.3926E+00 114.007
  0.1202E-04   0.6205E+01   0.2729E+01   7.412   0.2205E+01   0.3958E+00 125.171
  0.1253E-04   0.6156E+01   0.2774E+01   7.356   0.2178E+01   0.3989E+00 136.780
  0.1306E-04   0.6106E+01   0.2853E+01   7.287   0.2151E+01   0.4022E+00 152.773
  0.1361E-04   0.6055E+01   0.2915E+01   7.219   0.2124E+01   0.4057E+00 170.632
  0.1419E-04   0.6003E+01   0.2960E+01   7.128   0.2088E+01   0.4101E+00 198.018
  0.1479E-04   0.5949E+01   0.3034E+01   7.108   0.2079E+01   0.4112E+00 204.820
  0.1542E-04   0.5895E+01   0.3084E+01   7.094   0.2070E+01   0.4125E+00 209.466
  0.1607E-04   0.5839E+01   0.3133E+01   7.084   0.2061E+01   0.4134E+00 213.089
  0.1675E-04   0.5783E+01   0.3199E+01   7.040   0.2043E+01   0.4160E+00 229.043
  0.1746E-04   0.5725E+01   0.3241E+01   6.997   0.2025E+01   0.4182E+00 246.566
  0.1820E-04   0.5667E+01   0.3296E+01   6.953   0.2007E+01   0.4207E+00 265.142
  0.1897E-04   0.5608E+01   0.3354E+01   6.889   0.1980E+01   0.4243E+00 296.092
  0.1977E-04   0.5547E+01   0.3388E+01   6.802   0.1944E+01   0.4292E+00 343.533
  0.2061E-04   0.5486E+01   0.3443E+01   6.780   0.1935E+01   0.4306E+00 356.744
  0.2148E-04   0.5424E+01   0.3487E+01   6.780   0.1935E+01   0.4306E+00 356.744
  0.2239E-04   0.5361E+01   0.3507E+01   6.780   0.1935E+01   0.4306E+00 356.744
  0.2333E-04   0.5298E+01   0.3565E+01   6.780   0.1935E+01   0.4306E+00 356.744
  0.2432E-04   0.5234E+01   0.3598E+01   6.802   0.1944E+01   0.4292E+00 343.533
  0.2535E-04   0.5169E+01   0.3622E+01   6.802   0.1944E+01   0.4292E+00 343.533
  0.2642E-04   0.5104E+01   0.3669E+01   6.780   0.1935E+01   0.4306E+00 356.744
  0.2754E-04   0.5038E+01   0.3693E+01   6.780   0.1935E+01   0.4306E+00 356.744
  0.2871E-04   0.4972E+01   0.3717E+01   6.759   0.1926E+01   0.4317E+00 370.201
  0.2992E-04   0.4905E+01   0.3749E+01   6.759   0.1926E+01   0.4317E+00 370.201
  0.3119E-04   0.4837E+01   0.3758E+01   6.738   0.1917E+01   0.4331E+00 383.944
  0.3251E-04   0.4770E+01   0.3783E+01   6.759   0.1926E+01   0.4317E+00 370.201
  0.3388E-04   0.4701E+01   0.3803E+01   6.759   0.1926E+01   0.4317E+00 370.201
  0.3532E-04   0.4633E+01   0.3802E+01   6.780   0.1935E+01   0.4306E+00 356.744
  0.3681E-04   0.4565E+01   0.3827E+01   6.802   0.1944E+01   0.4292E+00 343.533
  0.3837E-04   0.4496E+01   0.3837E+01   6.802   0.1944E+01   0.4292E+00 343.533
  0.3999E-04   0.4427E+01   0.3831E+01   6.824   0.1953E+01   0.4281E+00 330.599
  0.4169E-04   0.4358E+01   0.3848E+01   6.845   0.1962E+01   0.4269E+00 319.160
  0.4345E-04   0.4288E+01   0.3843E+01   6.845   0.1962E+01   0.4269E+00 319.160
